State,City Or County,County/Parish
California,Adelanto,San Bernardino
California,Thornton,San Joaquin
Wisconsin,Fond Du Lac,Fond du Lac
California,Redwood City,San Mateo
Maryland,Frostburg,Allegany
California,Chico,Butte
Louisiana,Bastrop,Morehouse
Mississippi,Natchez,Adams
Mississippi,Ocean Springs,Jackson
Louisiana,Bossier City,Bossier
Florida,Lake Wales,Polk
Oklahoma,Henryetta,Okmulgee
California,Mojave,Kern
Texas,Bryan,Brazos
Massachusetts,Lawrence,Essex
Washington,Auburn,King
Maine,Bowdoin,Sagadahoc
Mississippi,Biloxi,Harrison
Georgia,Keysville,Burke
California,Northridge,Los Angeles
Hawaii,Waianae,Honolulu
North Carolina,Goldsboro,Wayne
South Carolina,Isle Of Palms,Charleston
Louisiana,Minden,Webster
Illinois,Macomb,McDonough
North Carolina,Williamston,Martin
Texas,Laredo,Webb
Washington,Vancouver,Clark
Illinois,Bolingbrook,Will
Florida,Lake City,Columbia
Florida,Cocoa,Brevard
Illinois,Machesney Park,Winnebago
Louisiana,Abbeville,Vermilion
Mississippi,Coldwater,Tate
Michigan,East Lansing,Ingham
Mississippi,Louisville,Winston
North Carolina,Laurinburg,Scotland
Arkansas,Newport,Jackson
Colorado,Peyton,El Paso
Texas,Huntsville,Walker
Texas,Texas City,Galveston
Tennessee,Luttrell,Union
South Carolina,Andrews,Georgetown
North Carolina,Red Springs,Robeson
California,Half Moon Bay,San Mateo
California,Monterey Park,Los Angeles
Florida,Fort Pierce,St. Lucie
Florida,Homestead,Miami-Dade
Virginia,Dumfries,Prince William
California,Eureka,Humboldt
California,Santa Ana,Orange
Georgia,Valdosta,Lowndes
California,Costa Mesa,Orange
Maryland,Temple Hills,Prince George's
Oklahoma,Hennessey,Kingfisher
North Carolina,Enfield,Halifax
Maryland,La Plata,Charles
California,Covina,Los Angeles
Oklahoma,Broken Arrow,Wagoner
North Carolina,Oxford,Granville
Georgia,Cordele,Crisp
Mississippi,Cleveland,Bolivar
Wisconsin,Hartland,Waukesha
California,Lancaster,Los Angeles
Mississippi,Itta Bena,Leflore
New York,Freeport,Nassau
South Carolina,Inman,Spartanburg
Arkansas,Jacksonville,Pulaski
California,Berkeley,Alameda
Texas,Baytown,Chambers
Mississippi,Marks,Quitman
Alabama,Uniontown,Perry
Indiana,Hammond,Lake
California,Castroville,Monterey
Michigan,Niles,Berrien
Michigan,Allendale,Ottawa
Missouri,Blue Springs,Jackson
Indiana,Plainfield,Hendricks
Maryland,Elk Mills,Cecil
Georgia,Hartwell,Hart
Illinois,Yorkville,Kendall
Wisconsin,Clinton,Rock
Oregon,Bend,Deschutes
Michigan,Paw Paw,Van Buren
Mississippi,Winona,Montgomery
Nebraska,Laurel,Cedar
California,Paramount,Los Angeles
Illinois,Wheeling,Cook
Georgia,Girard,Burke
Louisiana,Hahnville,St. Charles
North Carolina,Pinebluff,Moore
Washington,Mount Vernon,Skagit
Indiana,Greenwood,Johnson
Indiana,Beech Grove,Marion
Illinois,Crest Hill,Will
California,Downey,Los Angeles
Texas,Alvin,Brazoria
Alabama,Jacksons Gap,Tallapoosa
Minnesota,Saint Cloud,Stearns
Ohio,Steubenville,Jefferson
Illinois,Highland Park,Lake
South Carolina,Mullins,Marion
Arizona,Surprise,Maricopa
Texas,Haltom City,Tarrant
North Carolina,Clinton,Sampson
Georgia,Blakely,Early
Virginia,Sutherlin,Pittsylvania
Texas,Winona,Smith
New York,Staten Island,Richmond
Michigan,Roseville,Macomb
New Mexico,Alamogordo,Otero
Maryland,Smithsburg,Washington
Michigan,Ecorse,Wayne
South Carolina,Summerton,Clarendon
Virginia,Chester,Chesterfield
Texas,Centerville,Leon
Oklahoma,Taft,Muskogee
Florida,Malabar,Brevard
Michigan,Stanwood,Mecosta
Indiana,Goshen,Elkhart
Florida,Kissimmee,Osceola
California,Laguna Woods,Orange
Louisiana,Napoleonville,Assumption
Texas,Brookshire,Waller
Georgia,Clarkston,DeKalb
Florida,Tarpon Springs,Pinellas
Mississippi,Laurel,Jones
Louisiana,Opelousas,St. Landry
Indiana,Lafayette,Tippecanoe
Arkansas,Mountain View,Stone
Minnesota,Duluth,St. Louis
South Carolina,Furman,Hampton
Louisiana,Baldwin,St. Mary
Texas,Daingerfield,Morris
North Carolina,Shelby,Cleveland
California,Hollister,San Benito
Arkansas,Dumas,Desha
Virginia,Madison Heights,Amherst
Alabama,Autaugaville,Autauga
Mississippi,Mccomb,Pike
Missouri,Charleston,Mississippi
California,Turlock,Stanislaus
California,West Hollywood,Los Angeles
Illinois,Romeoville,Will
Texas,Corsicana,Navarro
New Mexico,Las Cruces,Doña Ana
Virginia,Blacksburg,Montgomery
California,Oroville,Butte
Florida,Winter Haven,Polk
Oregon,Eugene,Lane
Missouri,Kirksville,Adair
Virginia,Clear Brook,Frederick
Mississippi,Fayette,Jefferson
Mississippi,Bolton,Hinds
Illinois,River Grove,Cook
Wisconsin,Beloit,Rock
Georgia,Rex,Clayton
Michigan,Oxford,Oakland
South Carolina,Green Sea,Horry
Florida,Lehigh Acres,Lee
Texas,Marshall,Harrison
North Carolina,Warsaw,Duplin
Illinois,Berwyn,Cook
Oregon,Chiloquin,Klamath
South Dakota,Scotland,Bon Homme
California,Oakley,Contra Costa
Illinois,Flossmoor,Cook
New York,Poughkeepsie,Dutchess
California,Gonzales,Monterey
Mississippi,Crenshaw,Panola
California,Ontario,San Bernardino
Georgia,Fort Valley,Peach
Michigan,Farwell,Clare
Louisiana,Grambling,Lincoln
Florida,Naples,Collier
Iowa,Sioux City,Woodbury
South Carolina,Bishopville,Lee
Tennessee,Athens,McMinn
Tennessee,Collierville,Shelby
South Carolina,Yemassee,Hampton
Texas,Temple,Bell
Illinois,Blue Island,Cook
Alabama,Dothan,Houston
Missouri,Independence,Jackson
Missouri,Wyatt,Mississippi
New York,Niagara Falls,Niagara
North Carolina,Elm City,Wilson
Illinois,Normal,McLean
Pennsylvania,Sharon Hill,Delaware
Texas,Wichita Falls,Wichita
Illinois,Urbana,Champaign
California,Wasco,Kern
California,San Rafael,Marin
Texas,Jacksonville,Cherokee
New Jersey,Perth Amboy,Middlesex
North Carolina,Burlington,Alamance
California,Walnut Creek,Contra Costa
Texas,Levelland,Hockley
Delaware,Claymont,New Castle
Pennsylvania,Beaver Falls,Beaver
New Jersey,Iselin,Middlesex
California,Thermal,Riverside
Illinois,Rantoul,Champaign
North Carolina,Chadbourn,Columbus
Illinois,Saint Charles,Kane
Alabama,Fort Deposit,Lowndes
Florida,Wildwood,Sumter
Indiana,Granger,St. Joseph
Alabama,Albertville,Marshall
Ohio,West Salem,Wayne
New York,Yonkers,Westchester
North Carolina,Snow Hill,Greene
Alabama,Aliceville,Pickens
Michigan,Inkster,Wayne
Ohio,West Jefferson,Madison
California,Hemet,Riverside
Georgia,Buford,Gwinnett
California,Citrus Heights,Sacramento
New York,New Rochelle,Westchester
Massachusetts,Holyoke,Hampden
North Carolina,Boone,Watauga
Alabama,Fairfield,Jefferson
Oregon,Gresham,Multnomah
Texas,Palestine,Anderson
Missouri,Koshkonong,Oregon
Florida,Quincy,Gadsden
Maryland,Essex,Baltimore
Georgia,Acworth,Cobb
New Mexico,Ohkay Owingeh,Rio Arriba
Florida,Clearwater,Pinellas
Mississippi,Edwards,Hinds
California,Yuba City,Sutter
Indiana,East Chicago,Lake
Mississippi,Pattison,Claiborne
Missouri,Kennett,Dunklin
North Carolina,Teachey,Duplin
Colorado,Grand Junction,Mesa
Illinois,Springfield,Sangamon
North Carolina,Cary,Wake
Minnesota,Buffalo,Wright
Illinois,Bloomingdale,DuPage
Pennsylvania,Mohnton,Berks
Mississippi,Benoit,Bolivar
Colorado,Oak Creek,Routt
Pennsylvania,Tobyhanna,Monroe
Illinois,Galesburg,Knox
Illinois,East St. Louis,St. Clair
Texas,Flour Bluff,Nueces
California,East Palo Alto,San Mateo
Washington,Skyway,King
Illinois,Centreville,St. Clair
New York,Manhattan,New York
Maryland,Seat Pleasant,Prince George's
Tennessee,Lookout Valley,Hamilton
Florida,Orlando (Pine Hills),Orange
Illinois,Lovejoy (Brooklyn),St. Clair
Minnesota,Minneapolis (Brooklyn Center),Hennepin
New York,New York (Manhattan),New York
Florida,Allapattah,Miami-Dade
Maryland,Springdale,Prince George's
Missouri,Kinloch,St. Louis
New York,Gates,Monroe
Missouri,Tyrone,Texas
Ohio,Beachwood (Warrensville Heights),Cuyahoga
New York,Arverne (Queens),Queens
Georgia,Lenox (El Dorado),Telfair
Illinois,Chicago (Roseland),Cook
Texas,Mission (Palmview),Hidalgo
Florida,Fort Lauderdale (Lauderhill),Broward
Illinois,Chicago (Englewood),Cook
North Carolina,Winston Salem (Winston-Salem),Forsyth
California,Los Angeles (Hollywood),Los Angeles
Arkansas,Hot Springs National Park (Hot Springs),Garland
Alabama,Bessemer (Brighton),Jefferson
Pennsylvania,Reading (Sinking Spring),Berks
Florida,Hollywood (West Park),Broward
Georgia,Townsend (Eulonia),McIntosh
Missouri,Saint Louis (Ferguson),St. Louis
Maryland,District Heights (Forestville),Prince George's
Florida,Plantation,Broward
Pennsylvania,Pittsburgh (Wilkinsburg),Allegheny
Virginia,Woodbridge (Lake Ridge),Prince William
Colorado,Littleton (Highlands Ranch),Douglas and Jefferson
Mississippi,Mc Cool (Mccool),Attala
Ohio,Dayton (Trotwood),Montgomery
Florida,Orlando (Pine Castle),Orange
Missouri,Saint Louis (University City),St. Louis
California,Los Angeles (Boyle Heights),Los Angeles
Louisiana,New Orleans (Gentilly),Orleans
Minnesota,Minneapolis (Crystal),Hennepin
New York,Corona (Queens),Queens
California,Los Angeles (Watts),Los Angeles
California,Long Beach (North Long Beach),Los Angeles
California,Palo Alto (East Palo Alto),San Mateo
New Mexico,Espanola (Española),Rio Arriba
Louisiana,New Orleans (Algiers),Orleans
Florida,Palm Beach Gardens (Riviera Beach),Palm Beach
Alabama,Brandon,Shelby
Pennsylvania,Homestead (Munhall),Allegheny
Indiana,Indianapolis (Lawrence),Marion
Washington,Seattle (Skyway),King
Utah,Salt Lake City (West Valley City),Salt Lake
Florida,Pompano Beach (Parkland),Broward
Florida,Lake Worth (Lantana),Palm Beach
Ohio,Cleveland (Garfield Heights),Cuyahoga
Missouri,Saint Robert (St Robert),Pulaski
Minnesota,Minneapolis (Spring Lake Park),Anoka
Missouri,Saint Louis (Moline Acres),St. Louis
Florida,Brownsville,Miami-Dade
Oklahoma,Oklahoma City (Midwest City),Oklahoma
Illinois,Round Lake (Round Lake Park),Lake
Maryland,Temple Hills (Camp Springs),Prince George's
Missouri,Saint Louis (Wellston),St. Louis
Maryland,Hyattsville (Landover),Prince George's
Wisconsin,Milwaukee (Wauwatosa),Milwaukee
Missouri,Saint Louis (Jennings),St. Louis
Alabama,Bessemer (Hueytown),Jefferson
Maryland,Temple Hills (Marlow Heights),Prince George's
Alabama,Birmingham (Hoover),Jefferson
Texas,El Paso (Socorro),El Paso
Ohio,Warren (Howland),Trumbull
Illinois,Chicago Heights (Ford Heights),Cook
California,Florin,Sacramento
Mississippi,Robinsonville (Tunica Resorts),Tunica
Nevada,Las Vegas (Enterprise),Clark
California,Goshen,Tulare
Utah,Cedar City (Enoch),Iron
Illinois,Washington Park,St. Clair
Texas,Mcallen (McAllen),Hidalgo
Texas,Mc Gregor,McLennan
Florida,Miami (North Miami),Miami-Dade
Florida,Fort Lauderdale (Lauderdale Lakes),Broward
Georgia,Atlanta (College Park),Fulton
Kansas,Cowley County,Cowley
California,Willowbrook,Los Angeles
Louisiana,Hahnville (Killona),St. Charles
Colorado,Littleton (Lakewood),Jefferson
South Carolina,Mc Coll (Mccoll),Marlboro
Washington,Seattle (Des Moines),King
Maryland,Hyattsville (Adelphi),Prince George's
Florida,Miami (Kendall),Miami-Dade
Maryland,Gwynn Oak (Woodlawn),Baltimore
Missouri,Saint Louis (Kinloch),St. Louis
Louisiana,La Place (Laplace),St. John the Baptist
South Carolina,Mccormick,McCormick
Pennsylvania,Norristown (East Norriton),Montgomery
Florida,Fort Lauderdale (Sunrise),Broward
Pennsylvania,McKees Rocks (Mckees Rocks),Allegheny
